"","weatherPara","Site","equipNO","weatherE"
"1","ALLWeather(Scaled)","Roy's Peak Track",100103998,0.733
"2","ALLWeather(Scaled)","Cathedral Cove Track",100102439,0.348
"3","ALLWeather(Scaled)","Truman Track",100101142,0.518
"4","ALLWeather(Scaled)","Ruakuri Walkway",100087875,0.621
"5","ALLWeather(Scaled)","Great Lake Trail, W2K Track",100087640,0.296
"6","ALLWeather(Scaled)","Great Lake Trail, Kawakawa Bay",100087637,0.16
"7","ALLWeather(Scaled)","Dolomite Point  Pancake Rocks",100084657,0.233
"8","ALLWeather(Scaled)","Ben Lomond Walkway",100081556,0.42
"9","ALLWeather(Scaled)","Lake Hayes Walkway",100081554,0.419
"10","ALLWeather(Scaled)","Manaia Ridge Track",100073193,0.495
"11","ALLWeather(Scaled)","Hooker Valley Track",100073154,0.882
"12","ALLWeather(Scaled)","Bannockburn Loop Track",100064486,0.318
"13","ALLWeather(Scaled)","Wharariki Beach Track",100063665,0.919
"14","ALLWeather(Scaled)","Mangawhai Walkway",100057473,0.328
"15","ALLWeather(Scaled)","Point Elizabeth Walkway",100057059,0.77
"16","ALLWeather(Scaled)","Orongorongo Track",100056811,0.036
"17","ALLWeather(Scaled)","Abel Tasman Coast Tk, Marahau",100055888,0.755
"18","ALLWeather(Scaled)","Tongariro Xing Mangatepopo Tk",100055887,1
"19","ALLWeather(Scaled)","Cape Fowlwind, Tauranga Bay",100055451,0.717
"20","ALLWeather(Scaled)","Taranaki Falls Walk",100039886,0.968
"21","ALLWeather(Scaled)","Arnold Bridge Walk (Moana)",100038809,0
"22","ALLWeather(Scaled)","Tasman Glacier, Blue Lake Walk",100033465,0.434
"23","ALLWeather","Roy's Peak Track",100103998,34.734286657064
"24","ALLWeather","Cathedral Cove Track",100102439,26.6769402479431
"25","ALLWeather","Truman Track",100101142,30.2439608192761
"26","ALLWeather","Ruakuri Walkway",100087875,32.3860915570317
"27","ALLWeather","Great Lake Trail, W2K Track",100087640,25.5867052075379
"28","ALLWeather","Great Lake Trail, Kawakawa Bay",100087637,22.7524445486461
"29","ALLWeather","Dolomite Point  Pancake Rocks",100084657,24.273138417689
"30","ALLWeather","Ben Lomond Walkway",100081556,28.1922072173789
"31","ALLWeather","Lake Hayes Walkway",100081554,28.1643868925864
"32","ALLWeather","Manaia Ridge Track",100073193,29.7646525522048
"33","ALLWeather","Hooker Valley Track",100073154,37.847561807772
"34","ALLWeather","Bannockburn Loop Track",100064486,26.0665110968345
"35","ALLWeather","Wharariki Beach Track",100063665,38.6213075770507
"36","ALLWeather","Mangawhai Walkway",100057473,26.2609516533858
"37","ALLWeather","Point Elizabeth Walkway",100057059,35.5167954469804
"38","ALLWeather","Orongorongo Track",100056811,20.1478594112362
"39","ALLWeather","Abel Tasman Coast Tk, Marahau",100055888,35.2027343925412
"40","ALLWeather","Tongariro Xing Mangatepopo Tk",100055887,40.3209024322655
"41","ALLWeather","Cape Fowlwind, Tauranga Bay",100055451,34.4103017594105
"42","ALLWeather","Taranaki Falls Walk",100039886,39.6591569291658
"43","ALLWeather","Arnold Bridge Walk (Moana)",100038809,19.4050593478638
"44","ALLWeather","Tasman Glacier, Blue Lake Walk",100033465,28.4801416507074
"45","Radiation","Roy's Peak Track",100103998,8.18900574051875
"46","TemperatureMax","Roy's Peak Track",100103998,11.5644183734369
