"","weatherPara","Site","equipNO","weatherE"
"1","ALL","Arnold Bridge Walk (Moana)",100038809,21.7266126541398
"2","ALL","Tasman Glacier, Blue Lake Walk",100033465,37.159749790223
"3","Radiation","Arnold Bridge Walk (Moana)",100038809,2.92145948772619
"4","TemperatureMax","Arnold Bridge Walk (Moana)",100038809,5.12847667707476
"5","Rain","Arnold Bridge Walk (Moana)",100038809,7.71407175928718
"6","WindSpeed","Arnold Bridge Walk (Moana)",100038809,5.96260473005168
"7","Radiation","Tasman Glacier, Blue Lake Walk",100033465,4.31166998922468
"8","TemperatureMax","Tasman Glacier, Blue Lake Walk",100033465,14.7212212855084
"9","Rain","Tasman Glacier, Blue Lake Walk",100033465,7.68416581992849
"10","WindSpeed","Tasman Glacier, Blue Lake Walk",100033465,10.4426926955614
